Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1,0.1919191919191919,0.0789581732237043,39,0.625,0.058823529411764705,0.375
1,0.21212121212121213,0.1842357375219767,81,0.25,0.17647058823529413,0.25
0,0.20202020202020202,0.4526935264825713,6,0.25,0.058823529411764705,0.0
0,0.23232323232323232,0.31056881467990355,77,0.875,0.0,0.125
0,0.31313131313131315,0.20002737216671754,40,0.375,0.11764705882352941,0.625
0,0.2222222222222222,0.30530493646498996,76,0.0,0.0,0.125
0,0.35353535353535354,0.1631802246623222,6,0.625,0.058823529411764705,0.25
0,0.23232323232323232,0.44216577005274404,94,0.625,0.058823529411764705,0.25
1,0.6464646464646465,0.5105961868466211,3,0.25,0.0,0.25
0,0.30303030303030304,0.5158600650615347,72,0.0,0.058823529411764705,0.375
1,0.6767676767676768,0.03684714750439534,14,0.25,0.058823529411764705,0.25
0,0.35353535353535354,0.48954067398696666,99,0.625,0.23529411764705882,0.375
0,0.5858585858585859,0.4211102571930896,15,0.5,0.0,0.5
0,0.24242424242424243,0.4790129175571394,77,0.875,0.058823529411764705,0.0
1,0.37373737373737376,0.10001368608335877,13,0.125,0.0,0.0
1,0.2222222222222222,0.26845778896059463,79,0.625,0.058823529411764705,0.125
0,0.35353535353535354,0.15265246823249498,35,0.75,0.5294117647058824,0.5
1,0.20202020202020202,0.46848516112731214,66,0.625,0.058823529411764705,0.625
1,0.5252525252525253,0.1052775642982724,29,0.375,0.058823529411764705,0.375
0,0.35353535353535354,0.3263604493246444,98,0.0,0.0,0.0
1,0.35353535353535354,0.5053323086317075,35,0.75,0.7058823529411765,0.0
1,0.25252525252525254,0.021055512859654478,73,0.625,0.17647058823529413,0.375
0,0.46464646464646464,0.22108288502637202,5,0.0,0.7647058823529411,0.125
1,0.31313131313131315,0.373735353258867,73,0.0,0.29411764705882354,0.125
0,0.5454545454545454,0.3526798403992125,14,0.5,0.058823529411764705,0.25
1,0.29292929292929293,0.2737216671755082,82,0.0,0.058823529411764705,0.25
0,0.45454545454545453,0.35794371861412616,32,0.625,0.5294117647058824,0.875
