age,annual_income,spending_score,work_experience,family_size,profession_doctor,profession_engineer,profession_entertainment,profession_executive,profession_healthcare,profession_homemaker,profession_lawyer,profession_marketing
19,0.078958173,0.39,0.058823529,0.375,0,0,0,0,1,0,0,0
21,0.184235738,0.81,0.176470588,0.25,0,1,0,0,0,0,0,0
20,0.452693526,0.06,0.058823529,0,0,1,0,0,0,0,0,0
23,0.310568815,0.77,0,0.125,0,0,0,0,0,0,1,0
31,0.200027372,0.4,0.117647059,0.625,0,0,1,0,0,0,0,0
22,0.305304936,0.76,0,0.125,0,0,0,0,0,0,0,0
35,0.163180225,0.06,0.058823529,0.25,0,0,0,0,1,0,0,0
23,0.44216577,0.94,0.058823529,0.25,0,0,0,0,1,0,0,0
64,0.510596187,0.03,0,0.25,0,1,0,0,0,0,0,0
30,0.515860065,0.72,0.058823529,0.375,0,0,0,0,0,0,0,0
67,0.036847148,0.14,0.058823529,0.25,0,1,0,0,0,0,0,0
35,0.489540674,0.99,0.235294118,0.375,0,0,0,0,1,0,0,0
58,0.421110257,0.15,0,0.5,0,0,0,1,0,0,0,0
24,0.479012918,0.77,0.058823529,0,0,0,0,0,0,0,1,0
37,0.100013686,0.13,0,0,1,0,0,0,0,0,0,0
22,0.268457789,0.79,0.058823529,0.125,0,0,0,0,1,0,0,0
35,0.152652468,0.35,0.529411765,0.5,0,0,0,0,0,1,0,0
20,0.468485161,0.66,0.058823529,0.625,0,0,0,0,1,0,0,0
52,0.105277564,0.29,0.058823529,0.375,0,0,1,0,0,0,0,0
35,0.326360449,0.98,0,0,0,0,0,0,0,0,0,0
35,0.505332309,0.35,0.705882353,0,0,0,0,0,0,1,0,0
25,0.021055513,0.73,0.176470588,0.375,0,0,0,0,1,0,0,0
46,0.221082885,0.05,0.764705882,0.125,0,0,0,0,0,0,0,0
31,0.373735353,0.73,0.294117647,0.125,0,0,0,0,0,0,0,0
54,0.35267984,0.14,0.058823529,0.25,0,0,0,1,0,0,0,0
29,0.273721667,0.82,0.058823529,0.25,0,0,0,0,0,0,0,0
45,0.357943719,0.32,0.529411765,0.875,0,0,0,0,1,0,0,0
